Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1971,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1972,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1973,3.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1974,3.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1975,4.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1976,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1977,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1978,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1979,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1980,6.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1981,9.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1982,10.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1983,11.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1984,11.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1985,11.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1986,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1987,10.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1988,8.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1989,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1990,7.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1991,8.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1992,9.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1993,10.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1994,9.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1995,8.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1996,8.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1997,6.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1998,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1999,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2000,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2001,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2002,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009,7.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011,8.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013,7.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018,4.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2019,3.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2020,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2021,4.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2022,3.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2023,4.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1971 Q1,3.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1971 Q2,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1971 Q3,4.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1971 Q4,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1972 Q1,4.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1972 Q2,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1972 Q3,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1972 Q4,4.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1973 Q1,3.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1973 Q2,3.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1973 Q3,3.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1973 Q4,3.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1974 Q1,3.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1974 Q2,3.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1974 Q3,3.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1974 Q4,3.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1975 Q1,4.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1975 Q2,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1975 Q3,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1975 Q4,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1976 Q1,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1976 Q2,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1976 Q3,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1976 Q4,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1977 Q1,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1977 Q2,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1977 Q3,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1977 Q4,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1978 Q1,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1978 Q2,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1978 Q3,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1978 Q4,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1979 Q1,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1979 Q2,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1979 Q3,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1979 Q4,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1980 Q1,5.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1980 Q2,6.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1980 Q3,7.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1980 Q4,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1981 Q1,8.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1981 Q2,9.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1981 Q3,9.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1981 Q4,10.2
